estacion,patinetes_iniciales,slots,patinetes_finales,reasignaciones_necesarias
0,5,12,11,6
1,14,14,4,-10
2,4,5,4,0
3,4,9,9,5
4,1,8,5,4
5,9,9,4,-5
6,1,20,18,17
7,3,9,1,-2
8,11,11,1,-10
9,3,5,5,2
10,1,10,7,6
11,8,8,3,-5
12,6,6,3,-3
13,14,14,2,-12
14,6,13,8,2
15,17,17,6,-11
16,1,8,8,7
17,6,8,5,-1
18,6,11,3,-3
19,5,13,4,-1
20,1,11,11,10
21,20,20,1,-19
22,5,11,10,5
23,12,12,5,-7
24,21,21,4,-17
25,8,9,5,-3
26,3,16,12,9
27,3,12,2,-1
28,18,18,4,-14
29,2,21,18,16
30,2,8,7,5
31,2,11,5,3
32,6,14,4,-2
33,13,13,10,-3
34,4,8,2,-2
35,4,10,7,3
36,7,13,9,2
37,1,7,1,0
38,7,7,2,-5
39,5,9,8,3
40,8,8,0,-8
41,3,11,6,3
42,5,7,4,-1
43,13,13,1,-12
44,3,8,2,-1
45,19,19,3,-16
46,14,14,1,-13
47,3,29,25,22
48,23,23,3,-20
49,1,22,17,16
50,3,11,10,7
51,1,16,12,11
52,2,7,4,2
53,4,6,1,-3
54,3,17,10,7
55,12,12,3,-9
56,1,16,16,15
57,2,15,10,8
58,4,14,7,3
59,25,25,7,-18
60,2,12,11,9
61,3,17,16,13
62,4,12,4,0
63,4,11,11,7
64,7,9,1,-6
65,10,10,2,-8
66,3,7,2,-1
67,9,12,12,3
68,3,21,18,15
69,1,13,11,10
70,1,11,11,10
71,30,30,9,-21
72,14,14,1,-13
73,1,15,11,10
74,8,10,9,1
75,13,13,2,-11
76,1,6,5,4
77,12,12,6,-6
78,3,26,25,22
